iso3,country,disagg.value,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016
GBR,United Kingdom of Great Britain and Northern Ireland,Male,16.53,17.06,17.61,18.18,18.75,19.34,19.93,20.53,21.14,21.75,22.37,23.00,23.63,24.26,24.90,25.55,26.21,26.87
GEO,Georgia,Female,15.52,15.85,16.21,16.58,16.98,17.39,17.82,18.28,18.75,19.24,19.75,20.28,20.82,21.38,21.96,22.55,23.15,23.76
GEO,Georgia,Male,10.81,11.13,11.48,11.84,12.22,12.62,13.04,13.49,13.96,14.46,14.97,15.51,16.07,16.65,17.25,17.88,18.53,19.20
GHA,Ghana,Female,8.60,9.02,9.45,9.88,10.33,10.78,11.24,11.70,12.17,12.64,13.12,13.60,14.09,14.58,15.08,15.59,16.10,16.62
GHA,Ghana,Male,1.74,1.86,1.98,2.11,2.25,2.39,2.53,2.68,2.84,3.00,3.16,3.34,3.52,3.70,3.90,4.10,4.32,4.55
GIN,Guinea,Female,5.49,5.75,6.02,6.30,6.60,6.90,7.22,7.55,7.88,8.23,8.60,8.97,9.35,9.75,10.16,10.59,11.03,11.48
GIN,Guinea,Male,1.46,1.54,1.63,1.72,1.82,1.93,2.04,2.15,2.27,2.40,2.53,2.67,2.82,2.98,3.14,3.32,3.51,3.71
GMB,Gambia,Female,7.19,7.58,7.97,8.37,8.78,9.21,9.64,10.08,10.53,10.98,11.44,11.91,12.38,12.85,13.33,13.82,14.31,14.81
GMB,Gambia,Male,1.99,2.13,2.28,2.44,2.61,2.79,2.98,3.17,3.37,3.58,3.80,4.03,4.27,4.52,4.78,5.05,5.34,5.63
GNB,Guinea-Bissau,Female,6.25,6.60,6.96,7.33,7.72,8.11,8.52,8.94,9.37,9.81,10.26,10.72,11.18,11.66,12.15,12.64,13.15,13.66
GNB,Guinea-Bissau,Male,1.71,1.83,1.96,2.10,2.25,2.40,2.57,2.74,2.92,3.11,3.31,3.52,3.74,3.97,4.21,4.47,4.74,5.03
GNQ,Equatorial Guinea,Female,6.76,7.04,7.32,7.61,7.89,8.19,8.49,8.80,9.12,9.46,9.81,10.17,10.54,10.93,11.33,11.74,12.17,12.61
GNQ,Equatorial Guinea,Male,1.68,1.77,1.86,1.95,2.04,2.14,2.24,2.35,2.46,2.58,2.70,2.83,2.97,3.11,3.26,3.43,3.60,3.78
GRC,Greece,Female,20.50,20.79,21.09,21.38,21.68,21.98,22.28,22.58,22.88,23.17,23.46,23.75,24.03,24.31,24.59,24.86,25.14,25.41
GRC,Greece,Male,15.62,16.04,16.48,16.93,17.40,17.87,18.35,18.84,19.34,19.85,20.37,20.89,21.42,21.95,22.50,23.05,23.61,24.18
GRD,Grenada,Female,18.71,19.30,19.89,20.48,21.07,21.66,22.24,22.83,23.42,24.02,24.62,25.23,25.84,26.47,27.10,27.74,28.39,29.05
GRD,Grenada,Male,6.73,7.05,7.38,7.72,8.06,8.41,8.77,9.13,9.49,9.87,10.25,10.65,11.06,11.48,11.92,12.38,12.85,13.35
GTM,Guatemala,Female,16.79,17.30,17.81,18.34,18.87,19.41,19.96,20.51,21.07,21.64,22.22,22.80,23.38,23.98,24.58,25.19,25.81,26.44
GTM,Guatemala,Male,7.83,8.17,8.53,8.89,9.26,9.64,10.04,10.44,10.84,11.26,11.69,12.13,12.59,13.06,13.54,14.03,14.55,15.08
GUY,Guyana,Female,17.05,17.55,18.06,18.58,19.11,19.65,20.20,20.77,21.34,21.93,22.53,23.13,23.76,24.40,25.05,25.72,26.40,27.09
GUY,Guyana,Male,6.06,6.33,6.61,6.91,7.22,7.54,7.87,8.22,8.58,8.96,9.35,9.76,10.19,10.65,11.12,11.62,12.14,12.69
HND,Honduras,Female,16.47,17.01,17.56,18.12,18.69,19.27,19.86,20.46,21.07,21.69,22.31,22.95,23.59,24.24,24.89,25.55,26.21,26.88
HND,Honduras,Male,7.70,8.07,8.45,8.84,9.24,9.66,10.08,10.53,10.98,11.45,11.93,12.42,12.92,13.44,13.97,14.51,15.07,15.64
HRV,Croatia,Female,18.75,19.02,19.29,19.58,19.87,20.17,20.49,20.81,21.14,21.49,21.84,22.20,22.56,22.94,23.32,23.72,24.11,24.52
HRV,Croatia,Male,15.25,15.68,16.13,16.59,17.06,17.54,18.03,18.53,19.04,19.56,20.10,20.64,21.19,21.75,22.33,22.91,23.51,24.12
HTI,Haiti,Female,14.03,14.59,15.20,15.85,16.54,17.27,18.02,18.81,19.61,20.43,21.26,22.09,22.91,23.73,24.54,25.34,26.13,26.91
HTI,Haiti,Male,6.49,6.87,7.29,7.76,8.27,8.82,9.41,10.05,10.72,11.43,12.17,12.94,13.73,14.54,15.36,16.21,17.07,17.94
HUN,Hungary,Female,19.67,19.83,20.02,20.23,20.46,20.71,20.97,21.26,21.57,21.89,22.21,22.55,22.89,23.23,23.57,23.92,24.27,24.62
HUN,Hungary,Male,18.65,19.06,19.49,19.96,20.44,20.95,21.48,22.03,22.60,23.18,23.78,24.39,25.01,25.63,26.25,26.89,27.53,28.17
IDN,Indonesia,Female,3.52,3.76,4.01,4.27,4.54,4.81,5.09,5.39,5.69,5.99,6.32,6.65,6.99,7.35,7.71,8.09,8.49,8.89
IDN,Indonesia,Male,1.20,1.32,1.45,1.59,1.74,1.89,2.06,2.24,2.43,2.63,2.84,3.07,3.31,3.57,3.85,4.14,4.45,4.78
IND,India,Female,2.19,2.31,2.43,2.55,2.69,2.83,2.97,3.12,3.28,3.45,3.62,3.80,3.99,4.18,4.39,4.61,4.83,5.06
IND,India,Male,0.91,0.97,1.04,1.11,1.18,1.26,1.35,1.44,1.54,1.64,1.75,1.87,1.99,2.12,2.27,2.42,2.58,2.75
IRL,Ireland,Female,15.93,16.45,16.98,17.51,18.06,18.60,19.16,19.71,20.27,20.84,21.40,21.97,22.55,23.13,23.72,24.31,24.91,25.53
IRL,Ireland,Male,14.86,15.39,15.93,16.48,17.04,17.61,18.18,18.76,19.35,19.95,20.55,21.17,21.79,22.41,23.06,23.71,24.38,25.06
IRN,Iran (Islamic Republic of),Female,22.41,22.98,23.55,24.12,24.69,25.27,25.85,26.42,27.00,27.58,28.16,28.75,29.33,29.91,30.50,31.08,31.67,32.25
IRN,Iran (Islamic Republic of),Male,9.90,10.35,10.80,11.27,11.76,12.25,12.77,13.29,13.83,14.38,14.94,15.52,16.11,16.72,17.34,17.97,18.62,19.27
IRQ,Iraq,Female,28.71,29.10,29.50,29.93,30.36,30.81,31.27,31.73,32.22,32.71,33.21,33.73,34.25,34.79,35.33,35.88,36.44,37.00
IRQ,Iraq,Male,14.58,14.97,15.37,15.79,16.23,16.68,17.15,17.64,18.14,18.66,19.20,19.75,20.32,20.91,21.51,22.13,22.77,23.43
ISL,Iceland,Female,15.44,15.69,15.95,16.20,16.44,16.68,16.92,17.15,17.38,17.61,17.83,18.05,18.27,18.50,18.72,18.95,19.18,19.41
ISL,Iceland,Male,15.90,16.36,16.81,17.27,17.74,18.21,18.68,19.15,19.63,20.11,20.59,21.08,21.58,22.08,22.60,23.13,23.66,24.21
ISR,Israel,Female,22.83,23.06,23.30,23.52,23.74,23.95,24.16,24.36,24.56,24.75,24.94,25.12,25.31,25.50,25.68,25.87,26.06,26.25
ISR,Israel,Male,18.43,18.85,19.27,19.69,20.11,20.54,20.97,21.40,21.83,22.26,22.70,23.14,23.58,24.03,24.48,24.94,25.41,25.89
ITA,Italy,Female,15.61,15.86,16.11,16.35,16.59,16.83,17.07,17.30,17.53,17.76,17.99,18.21,18.43,18.65,18.87,19.09,19.31,19.54
ITA,Italy,Male,13.64,14.01,14.38,14.75,15.12,15.50,15.88,16.25,16.63,17.01,17.39,17.78,18.16,18.54,18.93,19.33,19.73,20.13
JAM,Jamaica,Female,23.12,23.71,24.29,24.89,25.48,26.08,26.68,27.28,27.88,28.48,29.09,29.70,30.31,30.93,31.55,32.18,32.81,33.45
JAM,Jamaica,Male,7.49,7.84,8.20,8.57,8.95,9.35,9.76,10.18,10.62,11.07,11.53,12.01,12.51,13.02,13.56,14.11,14.69,15.29
JOR,Jordan,Female,34.39,34.93,35.45,35.96,36.46,36.96,37.45,37.94,38.44,38.95,39.45,39.97,40.48,41.00,41.51,42.03,42.55,43.06
JOR,Jordan,Male,17.92,18.47,19.02,19.56,20.11,20.66,21.22,21.79,22.38,22.97,23.59,24.21,24.85,25.49,26.15,26.82,27.49,28.18
JPN,Japan,Female,2.20,2.25,2.31,2.38,2.45,2.54,2.64,2.74,2.84,2.94,3.04,3.14,3.24,3.33,3.42,3.51,3.60,3.68
JPN,Japan,Male,1.78,1.86,1.96,2.08,2.21,2.36,2.52,2.69,2.88,3.07,3.27,3.48,3.69,3.90,4.12,4.34,4.57,4.80
KAZ,Kazakhstan,Female,15.39,15.75,16.11,16.48,16.85,17.24,17.63,18.03,18.44,18.86,19.29,19.73,20.19,20.66,21.14,21.64,22.15,22.67
KAZ,Kazakhstan,Male,11.32,11.67,12.04,12.40,12.78,13.16,13.56,13.97,14.39,14.83,15.27,15.73,16.21,16.71,17.22,17.75,18.30,18.87
KEN,Kenya,Female,4.95,5.21,5.48,5.76,6.05,6.36,6.68,7.02,7.36,7.72,8.09,8.48,8.88,9.30,9.73,10.18,10.64,11.12
KEN,Kenya,Male,1.08,1.15,1.22,1.29,1.36,1.44,1.53,1.62,1.71,1.81,1.92,2.03,2.14,2.27,2.40,2.54,2.69,2.84
KGZ,Kyrgyzstan,Female,10.99,11.30,11.63,11.98,12.35,12.73,13.14,13.56,13.99,14.45,14.91,15.40,15.90,16.42,16.95,17.50,18.06,18.64
KGZ,Kyrgyzstan,Male,7.38,7.63,7.91,8.20,8.51,8.83,9.17,9.53,9.90,10.30,10.70,11.12,11.56,12.02,12.50,12.99,13.51,14.05
KHM,Cambodia,Female,1.86,1.98,2.10,2.23,2.36,2.50,2.64,2.79,2.95,3.12,3.29,3.48,3.67,3.88,4.09,4.32,4.57,4.82
KHM,Cambodia,Male,0.81,0.87,0.94,1.02,1.09,1.18,1.26,1.36,1.46,1.56,1.67,1.79,1.92,2.06,2.21,2.37,2.54,2.72
KIR,Kiribati,Female,39.60,40.49,41.33,42.12,42.87,43.58,44.25,44.88,45.47,46.05,46.61,47.15,47.69,48.23,48.76,49.30,49.83,50.36
KIR,Kiribati,Male,28.25,29.21,30.13,31.03,31.89,32.72,33.53,34.30,35.05,35.78,36.50,37.22,37.93,38.65,39.37,40.10,40.83,41.56
KNA,Saint Kitts and Nevis,Female,19.86,20.38,20.90,21.44,21.99,22.54,23.10,23.68,24.28,24.88,25.49,26.11,26.75,27.41,28.07,28.74,29.43,30.13
KNA,Saint Kitts and Nevis,Male,7.82,8.14,8.47,8.81,9.17,9.53,9.91,10.31,10.73,11.16,11.60,12.07,12.56,13.06,13.59,14.15,14.72,15.33
KWT,Kuwait,Female,39.16,39.50,39.85,40.20,40.56,40.92,41.28,41.64,42.02,42.40,42.78,43.17,43.57,43.96,44.36,44.77,45.17,45.58
KWT,Kuwait,Male,23.66,24.14,24.63,25.12,25.63,26.15,26.68,27.22,27.77,28.34,28.92,29.51,30.11,30.73,31.35,31.99,32.63,33.29
LAO,Lao People's Democratic Republic,Female,2.28,2.44,2.61,2.79,2.99,3.20,3.42,3.66,3.90,4.16,4.44,4.72,5.02,5.33,5.66,5.99,6.34,6.71
LAO,Lao People's Democratic Republic,Male,0.79,0.87,0.95,1.05,1.15,1.27,1.39,1.53,1.68,1.85,2.03,2.22,2.43,2.65,2.89,3.16,3.44,3.74
LBN,Lebanon,Female,29.71,30.12,30.53,30.94,31.34,31.75,32.16,32.56,32.98,33.40,33.83,34.27,34.71,35.16,35.62,36.08,36.54,37.01
LBN,Lebanon,Male,18.07,18.56,19.05,19.54,20.04,20.54,21.06,21.58,22.11,22.65,23.21,23.78,24.36,24.95,25.55,26.16,26.79,27.43
LBR,Liberia,Female,8.11,8.27,8.48,8.73,9.01,9.32,9.66,10.01,10.38,10.76,11.15,11.55,11.96,12.38,12.81,13.25,13.71,14.17
LBR,Liberia,Male,2.63,2.69,2.77,2.87,2.98,3.12,3.26,3.42,3.58,3.76,3.94,4.13,4.33,4.54,4.76,4.99,5.23,5.49
LBY,Libya,Female,31.40,31.82,32.25,32.69,33.14,33.59,34.05,34.51,34.99,35.48,35.98,36.48,36.99,37.51,38.04,38.57,39.11,39.64
LBY,Libya,Male,15.78,16.21,16.65,17.10,17.56,18.04,18.53,19.04,19.56,20.10,20.65,21.22,21.80,22.40,23.02,23.65,24.29,24.96
LCA,Saint Lucia,Female,18.16,18.67,19.16,19.63,20.09,20.54,20.97,21.41,21.85,22.30,22.75,23.22,23.75,24.32,24.93,25.58,26.27,26.99
LCA,Saint Lucia,Male,6.57,6.85,7.13,7.39,7.65,7.91,8.16,8.42,8.67,8.94,9.21,9.49,9.81,10.17,10.57,11.01,11.49,12.01
LKA,Sri Lanka,Female,3.08,3.25,3.41,3.59,3.78,3.98,4.19,4.40,4.63,4.87,5.12,5.38,5.66,5.95,6.25,6.57,6.91,7.26
LKA,Sri Lanka,Male,0.89,0.95,1.02,1.09,1.17,1.25,1.34,1.44,1.54,1.65,1.77,1.89,2.03,2.17,2.33,2.49,2.67,2.86
LSO,Lesotho,Female,15.76,16.35,16.95,17.55,18.17,18.79,19.42,20.06,20.70,21.35,22.01,22.66,23.32,23.99,24.65,25.32,25.99,26.66
LSO,Lesotho,Male,1.66,1.77,1.89,2.01,2.14,2.28,2.42,2.58,2.74,2.91,3.09,3.28,3.48,3.69,3.91,4.14,4.39,4.65
LTU,Lithuania,Female,24.93,25.05,25.18,25.32,25.46,25.60,25.75,25.91,26.08,26.25,26.43,26.62,26.81,27.00,27.19,27.39,27.59,27.79
LTU,Lithuania,Male,16.88,17.25,17.63,18.02,18.41,18.81,19.22,19.64,20.06,20.50,20.93,21.38,21.83,22.29,22.75,23.21,23.68,24.16
LUX,Luxembourg,Female,15.35,15.66,15.97,16.29,16.61,16.94,17.26,17.59,17.91,18.23,18.54,18.85,19.16,19.47,19.78,20.08,20.40,20.71
LUX,Luxembourg,Male,15.47,15.95,16.43,16.92,17.42,17.94,18.46,18.98,19.51,20.04,20.58,21.12,21.67,22.22,22.78,23.34,23.92,24.50
LVA,Latvia,Female,22.49,22.60,22.71,22.84,22.98,23.12,23.27,23.42,23.58,23.73,23.90,24.06,24.23,24.40,24.58,24.76,24.95,25.14
LVA,Latvia,Male,14.68,15.02,15.37,15.73,16.10,16.49,16.88,17.28,17.69,18.10,18.51,18.93,19.36,19.79,20.23,20.68,21.13,21.60
MAR,Morocco,Female,21.75,22.30,22.84,23.39,23.94,24.50,25.07,25.65,26.25,26.87,27.50,28.14,28.80,29.46,30.13,30.81,31.48,32.16
MAR,Morocco,Male,10.14,10.55,10.98,11.42,11.86,12.32,12.80,13.30,13.82,14.36,14.93,15.51,16.12,16.74,17.39,18.05,18.73,19.42
MDA,Republic of Moldova,Female,17.32,17.49,17.67,17.85,18.05,18.24,18.45,18.66,18.88,19.10,19.32,19.55,19.79,20.04,20.30,20.56,20.83,21.12
MDA,Republic of Moldova,Male,9.99,10.29,10.59,10.90,11.22,11.55,11.89,12.23,12.58,12.94,13.30,13.67,14.06,14.45,14.86,15.28,15.71,16.16
MDG,Madagascar,Female,3.23,3.39,3.56,3.74,3.93,4.12,4.33,4.55,4.79,5.04,5.30,5.58,5.87,6.17,6.49,6.82,7.17,7.53
MDG,Madagascar,Male,1.09,1.16,1.22,1.29,1.37,1.45,1.53,1.62,1.71,1.82,1.93,2.05,2.18,2.32,2.47,2.63,2.80,2.98
MDV,Maldives,Female,4.34,4.57,4.83,5.12,5.44,5.78,6.14,6.53,6.94,7.37,7.82,8.29,8.77,9.26,9.77,10.30,10.83,11.38
MDV,Maldives,Male,1.42,1.52,1.65,1.79,1.94,2.12,2.31,2.53,2.76,3.02,3.30,3.60,3.92,4.25,4.61,5.00,5.40,5.83
MEX,Mexico,Female,24.44,24.91,25.39,25.87,26.35,26.83,27.32,27.81,28.30,28.79,29.29,29.78,30.28,30.78,31.28,31.79,32.29,32.80
MEX,Mexico,Male,15.67,16.14,16.63,17.11,17.60,18.10,18.60,19.09,19.59,20.10,20.60,21.12,21.63,22.15,22.68,23.21,23.76,24.31
MHL,Marshall Islands,Female,49.55,50.06,50.57,51.06,51.55,52.03,52.51,52.98,53.44,53.90,54.35,54.79,55.23,55.66,56.09,56.52,56.94,57.35
MHL,Marshall Islands,Male,36.59,37.28,37.98,38.68,39.38,40.08,40.79,41.49,42.19,42.89,43.59,44.29,44.98,45.67,46.37,47.05,47.74,48.41
MKD,The former Yugoslav Republic of Macedonia,Female,18.20,18.38,18.56,18.74,18.92,19.11,19.30,19.50,19.71,19.94,20.17,20.41,20.66,20.92,21.20,21.48,21.77,22.08
MKD,The former Yugoslav Republic of Macedonia,Male,15.36,15.73,16.10,16.48,16.85,17.23,17.62,18.01,18.42,18.84,19.27,19.71,20.16,20.63,21.11,21.60,22.11,22.63
MLI,Mali,Female,5.43,5.72,6.03,6.36,6.70,7.06,7.43,7.82,8.22,8.63,9.06,9.49,9.94,10.40,10.87,11.35,11.85,12.36
MLI,Mali,Male,1.54,1.64,1.75,1.87,2.00,2.14,2.28,2.43,2.60,2.77,2.95,3.14,3.34,3.56,3.79,4.03,4.29,4.56
MLT,Malta,Female,24.55,24.83,25.11,25.38,25.64,25.90,26.15,26.40,26.63,26.86,27.08,27.30,27.52,27.73,27.93,28.13,28.34,28.54
MLT,Malta,Male,20.74,21.23,21.72,22.21,22.71,23.20,23.70,24.19,24.68,25.17,25.67,26.16,26.65,27.15,27.64,28.14,28.64,29.15
MMR,Myanmar,Female,2.89,3.05,3.23,3.41,3.60,3.81,4.02,4.25,4.49,4.74,5.01,5.29,5.58,5.89,6.21,6.55,6.90,7.27
MMR,Myanmar,Male,1.14,1.23,1.33,1.43,1.54,1.66,1.79,1.93,2.08,2.24,2.41,2.60,2.80,3.01,3.24,3.49,3.75,4.03
MNE,Montenegro,Female,17.17,17.60,18.02,18.44,18.85,19.25,19.65,20.02,20.38,20.71,21.03,21.35,21.65,21.95,22.25,22.55,22.84,23.15
MNE,Montenegro,Male,13.89,14.48,15.06,15.65,16.24,16.83,17.42,18.00,18.55,19.10,19.63,20.15,20.67,21.19,21.70,22.21,22.73,23.26
MNG,Mongolia,Female,14.05,14.37,14.74,15.16,15.61,16.10,16.62,17.16,17.73,18.31,18.91,19.53,20.14,20.76,21.38,22.00,22.62,23.23
MNG,Mongolia,Male,8.32,8.61,8.94,9.30,9.71,10.16,10.64,11.15,11.70,12.28,12.88,13.50,14.13,14.78,15.45,16.13,16.82,17.52
MOZ,Mozambique,Female,5.22,5.46,5.72,5.98,6.24,6.51,6.79,7.08,7.38,7.68,8.00,8.32,8.66,9.00,9.36,9.73,10.12,10.52
MOZ,Mozambique,Male,1.41,1.49,1.58,1.66,1.75,1.84,1.93,2.03,2.13,2.23,2.34,2.45,2.57,2.70,2.83,2.97,3.12,3.28
MRT,Mauritania,Female,9.80,10.26,10.73,11.20,11.69,12.19,12.69,13.20,13.71,14.23,14.75,15.27,15.80,16.32,16.86,17.39,17.93,18.47
MRT,Mauritania,Male,2.64,2.81,2.98,3.17,3.36,3.56,3.77,3.98,4.21,4.44,4.68,4.93,5.18,5.45,5.73,6.02,6.32,6.63
MUS,Mauritius,Female,9.82,10.10,10.39,10.69,10.99,11.30,11.61,11.93,12.26,12.59,12.94,13.29,13.66,14.04,14.43,14.83,15.24,15.67
MUS,Mauritius,Male,3.15,3.27,3.39,3.51,3.63,3.75,3.88,4.01,4.14,4.28,4.42,4.56,4.71,4.87,5.04,5.21,5.40,5.59
MWI,Malawi,Female,4.03,4.25,4.48,4.71,4.95,5.21,5.47,5.74,6.02,6.31,6.61,6.93,7.26,7.60,7.96,8.34,8.73,9.14
MWI,Malawi,Male,0.89,0.95,1.00,1.06,1.12,1.18,1.25,1.31,1.38,1.46,1.53,1.61,1.70,1.79,1.88,1.98,2.09,2.21
MYS,Malaysia,Female,8.85,9.33,9.82,10.32,10.83,11.34,11.85,12.38,12.90,13.43,13.97,14.52,15.07,15.63,16.20,16.77,17.35,17.94
MYS,Malaysia,Male,4.42,4.78,5.17,5.57,5.98,6.42,6.87,7.34,7.82,8.32,8.84,9.38,9.94,10.51,11.11,11.72,12.35,12.99
NAM,Namibia,Female,14.80,15.31,15.84,16.39,16.96,17.55,18.15,18.76,19.40,20.04,20.70,21.36,22.03,22.70,23.38,24.05,24.73,25.41
NAM,Namibia,Male,2.64,2.80,2.97,3.16,3.36,3.57,3.80,4.05,4.31,4.59,4.89,5.21,5.54,5.90,6.27,6.66,7.08,7.52
NER,Niger,Female,3.85,4.04,4.25,4.46,4.69,4.93,5.17,5.43,5.70,5.98,6.27,6.57,6.89,7.22,7.57,7.93,8.31,8.70
NER,Niger,Male,0.95,1.00,1.06,1.12,1.18,1.25,1.32,1.40,1.48,1.56,1.65,1.75,1.85,1.96,2.07,2.20,2.33,2.47
NGA,Nigeria,Female,5.86,6.16,6.48,6.82,7.18,7.55,7.94,8.35,8.77,9.20,9.64,10.10,10.57,11.04,11.53,12.03,12.55,13.07
NGA,Nigeria,Male,1.61,1.72,1.83,1.94,2.07,2.21,2.35,2.50,2.67,2.84,3.02,3.21,3.41,3.63,3.85,4.09,4.35,4.62
NIC,Nicaragua,Female,19.81,20.31,20.81,21.32,21.83,22.35,22.87,23.39,23.92,24.46,25.00,25.55,26.10,26.66,27.23,27.80,28.38,28.97
NIC,Nicaragua,Male,10.14,10.52,10.91,11.31,11.72,12.13,12.56,12.99,13.43,13.88,14.34,14.82,15.30,15.80,16.31,16.84,17.38,17.93
NLD,Netherlands,Female,13.51,13.90,14.31,14.71,15.13,15.55,15.97,16.38,16.78,17.18,17.56,17.94,18.30,18.65,18.99,19.33,19.66,19.98
