iso3,country,disagg.value,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016
NLD,Netherlands,Male,11.48,11.95,12.45,12.96,13.49,14.03,14.59,15.15,15.71,16.27,16.84,17.41,17.97,18.53,19.09,19.65,20.22,20.78
NOR,Norway,Female,16.37,16.75,17.14,17.52,17.89,18.26,18.63,18.99,19.35,19.70,20.06,20.41,20.76,21.11,21.47,21.82,22.18,22.54
NOR,Norway,Male,14.53,15.04,15.55,16.06,16.57,17.09,17.61,18.12,18.64,19.17,19.69,20.23,20.77,21.32,21.88,22.45,23.02,23.61
NPL,Nepal,Female,2.04,2.18,2.32,2.47,2.62,2.79,2.95,3.13,3.31,3.51,3.71,3.91,4.13,4.36,4.60,4.85,5.11,5.38
NPL,Nepal,Male,0.86,0.92,0.99,1.07,1.15,1.23,1.32,1.41,1.51,1.61,1.72,1.83,1.95,2.08,2.22,2.36,2.51,2.68
NRU,Nauru,Female,59.01,59.28,59.55,59.82,60.09,60.35,60.61,60.87,61.13,61.39,61.65,61.90,62.14,62.39,62.63,62.87,63.11,63.34
NRU,Nauru,Male,50.32,50.83,51.34,51.85,52.36,52.87,53.37,53.88,54.38,54.88,55.38,55.87,56.35,56.84,57.31,57.78,58.24,58.70
NZL,New Zealand,Female,22.22,22.75,23.28,23.82,24.36,24.90,25.44,25.98,26.52,27.05,27.59,28.14,28.68,29.22,29.77,30.32,30.88,31.44
NZL,New Zealand,Male,19.66,20.24,20.82,21.40,22.00,22.59,23.20,23.80,24.40,25.01,25.62,26.24,26.86,27.48,28.12,28.76,29.41,30.08
OMN,Oman,Female,24.25,24.73,25.20,25.66,26.12,26.58,27.06,27.56,28.10,28.67,29.26,29.88,30.50,31.14,31.78,32.43,33.07,33.72
OMN,Oman,Male,12.87,13.32,13.77,14.22,14.68,15.15,15.64,16.16,16.72,17.31,17.93,18.58,19.26,19.96,20.67,21.41,22.16,22.93
PAK,Pakistan,Female,5.32,5.57,5.84,6.11,6.40,6.70,7.00,7.32,7.66,8.00,8.36,8.73,9.12,9.52,9.93,10.36,10.80,11.25
PAK,Pakistan,Male,2.27,2.41,2.55,2.71,2.87,3.04,3.22,3.41,3.61,3.82,4.05,4.28,4.53,4.80,5.07,5.37,5.68,6.01
PAN,Panama,Female,18.56,19.14,19.70,20.25,20.79,21.31,21.83,22.35,22.86,23.37,23.87,24.39,24.91,25.43,25.97,26.51,27.06,27.61
PAN,Panama,Male,9.81,10.27,10.74,11.19,11.64,12.09,12.54,12.98,13.42,13.87,14.32,14.78,15.26,15.74,16.23,16.74,17.27,17.81
PER,Peru,Female,17.29,17.66,18.04,18.42,18.80,19.19,19.58,19.98,20.38,20.78,21.19,21.61,22.02,22.45,22.87,23.30,23.74,24.18
PER,Peru,Male,8.97,9.28,9.60,9.93,10.26,10.60,10.94,11.29,11.65,12.01,12.38,12.76,13.14,13.53,13.93,14.34,14.75,15.17
PHL,Philippines,Female,4.04,4.19,4.35,4.52,4.68,4.85,5.03,5.21,5.40,5.59,5.80,6.01,6.23,6.46,6.70,6.96,7.23,7.51
PHL,Philippines,Male,2.17,2.30,2.42,2.56,2.69,2.84,2.99,3.14,3.31,3.48,3.66,3.85,4.05,4.26,4.48,4.72,4.97,5.24
PLW,Palau,Female,50.24,50.61,51.05,51.54,52.07,52.63,53.22,53.81,54.41,54.99,55.57,56.12,56.64,57.12,57.58,58.02,58.45,58.84
PLW,Palau,Male,38.73,39.30,39.94,40.65,41.41,42.23,43.09,43.95,44.83,45.70,46.55,47.40,48.20,48.97,49.71,50.42,51.11,51.77
PNG,Papua New Guinea,Female,16.58,17.03,17.50,17.98,18.47,18.97,19.49,20.01,20.55,21.09,21.64,22.21,22.78,23.36,23.94,24.54,25.15,25.77
PNG,Papua New Guinea,Male,9.10,9.42,9.76,10.11,10.47,10.86,11.25,11.66,12.08,12.52,12.98,13.45,13.93,14.43,14.95,15.49,16.04,16.62
POL,Poland,Female,18.44,18.62,18.81,19.00,19.19,19.40,19.60,19.82,20.04,20.26,20.48,20.71,20.94,21.18,21.43,21.68,21.94,22.20
POL,Poland,Male,15.60,16.01,16.44,16.87,17.31,17.76,18.22,18.69,19.16,19.64,20.12,20.61,21.11,21.61,22.12,22.63,23.16,23.70
PRK,Democratic People's Republic of Korea,Female,4.70,4.82,4.95,5.07,5.20,5.34,5.47,5.61,5.76,5.91,6.06,6.21,6.37,6.54,6.71,6.89,7.07,7.26
PRK,Democratic People's Republic of Korea,Male,2.85,2.99,3.13,3.27,3.42,3.58,3.75,3.92,4.09,4.28,4.47,4.67,4.88,5.10,5.33,5.57,5.82,6.09
PRT,Portugal,Female,14.74,15.14,15.55,15.95,16.35,16.75,17.14,17.52,17.91,18.29,18.66,19.04,19.41,19.77,20.14,20.50,20.87,21.23
PRT,Portugal,Male,11.53,12.00,12.47,12.96,13.44,13.93,14.43,14.94,15.44,15.96,16.48,17.01,17.54,18.08,18.63,19.18,19.75,20.33
PRY,Paraguay,Female,14.57,15.08,15.59,16.10,16.61,17.13,17.65,18.16,18.67,19.19,19.70,20.21,20.73,21.26,21.79,22.33,22.88,23.43
PRY,Paraguay,Male,9.18,9.60,10.03,10.47,10.90,11.35,11.80,12.26,12.71,13.17,13.63,14.10,14.58,15.07,15.57,16.08,16.61,17.15
PSE,State of Palestine,Female,29.87,30.39,30.91,31.42,31.92,32.43,32.93,33.43,33.94,34.45,34.97,35.50,36.03,36.57,37.11,37.65,38.20,38.75
PSE,State of Palestine,Male,16.29,16.81,17.33,17.85,18.38,18.91,19.46,20.01,20.57,21.14,21.73,22.33,22.95,23.57,24.22,24.88,25.55,26.23
QAT,Qatar,Female,35.53,35.96,36.39,36.81,37.24,37.66,38.09,38.53,38.97,39.42,39.88,40.34,40.80,41.27,41.73,42.18,42.64,43.09
QAT,Qatar,Male,21.74,22.29,22.85,23.42,23.99,24.57,25.16,25.77,26.39,27.02,27.68,28.35,29.02,29.69,30.38,31.06,31.76,32.46
ROU,Romania,Female,16.97,17.16,17.37,17.58,17.80,18.03,18.27,18.53,18.80,19.08,19.37,19.66,19.97,20.28,20.61,20.94,21.27,21.62
ROU,Romania,Male,14.61,15.00,15.41,15.83,16.27,16.72,17.19,17.68,18.18,18.70,19.24,19.78,20.35,20.92,21.51,22.11,22.73,23.36
RUS,Russian Federation,Female,24.52,24.62,24.74,24.85,24.98,25.11,25.24,25.38,25.52,25.66,25.81,25.96,26.11,26.26,26.42,26.58,26.75,26.92
RUS,Russian Federation,Male,11.68,11.99,12.31,12.64,12.98,13.33,13.69,14.05,14.43,14.81,15.19,15.59,15.99,16.39,16.80,17.22,17.65,18.08
RWA,Rwanda,Female,3.52,3.77,4.02,4.28,4.56,4.85,5.15,5.46,5.78,6.12,6.47,6.83,7.21,7.60,8.01,8.43,8.86,9.31
RWA,Rwanda,Male,0.57,0.62,0.67,0.72,0.78,0.84,0.90,0.96,1.04,1.11,1.19,1.27,1.36,1.46,1.56,1.67,1.79,1.91
SAU,Saudi Arabia,Female,33.55,34.04,34.53,35.03,35.52,36.02,36.51,37.01,37.52,38.03,38.55,39.08,39.61,40.14,40.67,41.20,41.74,42.27
SAU,Saudi Arabia,Male,19.57,20.13,20.70,21.28,21.87,22.47,23.08,23.71,24.35,25.02,25.69,26.38,27.09,27.80,28.53,29.27,30.02,30.78
SDN,Sudan,Female,6.67,6.95,7.23,7.51,7.79,8.09,8.39,8.70,9.02,9.35,9.68,10.03,10.39,10.76,11.15,11.54,11.95,12.38
SDN,Sudan,Male,1.76,1.85,1.94,2.04,2.13,2.23,2.33,2.44,2.54,2.66,2.77,2.89,3.02,3.16,3.30,3.45,3.61,3.78
SEN,Senegal,Female,6.93,7.21,7.49,7.78,8.09,8.40,8.72,9.05,9.39,9.74,10.09,10.46,10.84,11.23,11.63,12.04,12.47,12.92
SEN,Senegal,Male,1.76,1.85,1.95,2.04,2.14,2.25,2.36,2.47,2.59,2.71,2.84,2.97,3.12,3.27,3.43,3.60,3.78,3.97
SGP,Singapore,Female,5.28,5.33,5.38,5.44,5.49,5.54,5.60,5.66,5.72,5.78,5.84,5.91,5.97,6.04,6.11,6.18,6.26,6.34
SGP,Singapore,Male,3.33,3.44,3.56,3.68,3.80,3.92,4.06,4.19,4.33,4.48,4.62,4.78,4.94,5.11,5.28,5.46,5.64,5.84
SLB,Solomon Islands,Female,17.14,17.66,18.19,18.73,19.28,19.84,20.41,20.99,21.57,22.16,22.76,23.36,23.97,24.59,25.21,25.83,26.46,27.09
SLB,Solomon Islands,Male,9.04,9.42,9.82,10.24,10.67,11.12,11.58,12.07,12.57,13.09,13.63,14.18,14.76,15.35,15.97,16.60,17.25,17.92
SLE,Sierra Leone,Female,6.80,7.09,7.40,7.72,8.05,8.39,8.74,9.10,9.47,9.84,10.23,10.63,11.04,11.46,11.90,12.35,12.81,13.29
SLE,Sierra Leone,Male,1.56,1.65,1.74,1.84,1.94,2.05,2.16,2.27,2.39,2.52,2.65,2.79,2.93,3.08,3.25,3.42,3.61,3.81
SLV,El Salvador,Female,19.05,19.67,20.29,20.89,21.48,22.07,22.64,23.22,23.79,24.35,24.92,25.49,26.06,26.63,27.21,27.78,28.36,28.95
SLV,El Salvador,Male,10.06,10.56,11.06,11.56,12.06,12.56,13.05,13.55,14.05,14.55,15.06,15.58,16.10,16.64,17.19,17.74,18.31,18.90
SOM,Somalia,Female,6.09,6.36,6.64,6.94,7.24,7.56,7.89,8.23,8.58,8.94,9.31,9.70,10.09,10.50,10.93,11.36,11.81,12.27
SOM,Somalia,Male,1.62,1.71,1.80,1.90,2.00,2.11,2.23,2.35,2.47,2.60,2.74,2.88,3.04,3.20,3.37,3.55,3.74,3.94
SRB,Serbia,Female,16.84,17.11,17.38,17.66,17.94,18.23,18.52,18.82,19.11,19.41,19.71,20.00,20.30,20.60,20.91,21.21,21.52,21.84
SRB,Serbia,Male,13.24,13.66,14.08,14.51,14.95,15.40,15.85,16.31,16.77,17.24,17.70,18.17,18.64,19.12,19.59,20.07,20.56,21.06
STP,Sao Tome and Principe,Female,8.70,9.14,9.58,10.04,10.50,10.97,11.45,11.94,12.42,12.91,13.40,13.90,14.39,14.89,15.39,15.89,16.40,16.91
STP,Sao Tome and Principe,Male,2.75,2.94,3.13,3.34,3.56,3.79,4.02,4.27,4.52,4.78,5.05,5.33,5.61,5.91,6.21,6.53,6.86,7.20
SUR,Suriname,Female,25.43,25.90,26.38,26.86,27.34,27.82,28.31,28.80,29.28,29.75,30.23,30.71,31.19,31.68,32.17,32.66,33.16,33.67
SUR,Suriname,Male,11.29,11.68,12.08,12.48,12.90,13.32,13.75,14.18,14.62,15.06,15.51,15.96,16.42,16.90,17.38,17.88,18.39,18.92
SVK,Slovakia,Female,16.16,16.34,16.52,16.71,16.90,17.10,17.31,17.52,17.74,17.96,18.19,18.42,18.65,18.90,19.14,19.40,19.66,19.93
SVK,Slovakia,Male,14.01,14.37,14.73,15.10,15.48,15.86,16.25,16.65,17.05,17.46,17.87,18.29,18.72,19.15,19.59,20.03,20.49,20.95
SVN,Slovenia,Female,16.72,16.94,17.17,17.39,17.62,17.85,18.09,18.33,18.58,18.82,19.07,19.33,19.59,19.86,20.13,20.41,20.70,21.00
SVN,Slovenia,Male,12.65,13.00,13.36,13.73,14.10,14.47,14.85,15.23,15.62,16.01,16.41,16.81,17.22,17.63,18.05,18.49,18.93,19.38
SWE,Sweden,Female,13.60,13.85,14.11,14.36,14.62,14.87,15.12,15.38,15.63,15.89,16.15,16.41,16.68,16.94,17.21,17.49,17.77,18.05
SWE,Sweden,Male,14.76,15.20,15.64,16.09,16.55,17.00,17.46,17.93,18.41,18.89,19.38,19.88,20.38,20.90,21.42,21.96,22.51,23.06
SWZ,Eswatini,Female,17.15,17.62,18.09,18.57,19.06,19.55,20.05,20.56,21.08,21.60,22.14,22.69,23.24,23.81,24.39,24.97,25.57,26.17
SWZ,Eswatini,Male,2.45,2.57,2.70,2.83,2.96,3.10,3.24,3.39,3.55,3.71,3.88,4.07,4.26,4.46,4.67,4.90,5.14,5.40
SYC,Seychelles,Female,12.66,13.04,13.42,13.82,14.23,14.66,15.09,15.53,15.99,16.45,16.92,17.41,17.90,18.41,18.92,19.45,19.98,20.53
SYC,Seychelles,Male,3.82,3.97,4.13,4.30,4.48,4.66,4.85,5.05,5.26,5.47,5.69,5.92,6.17,6.42,6.69,6.97,7.27,7.58
SYR,Syrian Arab Republic,Female,24.24,24.80,25.37,25.95,26.53,27.13,27.73,28.33,28.94,29.57,30.20,30.83,31.48,32.13,32.78,33.44,34.10,34.76
SYR,Syrian Arab Republic,Male,11.22,11.65,12.10,12.57,13.05,13.55,14.06,14.59,15.14,15.71,16.29,16.89,17.51,18.14,18.80,19.47,20.16,20.86
TCD,Chad,Female,4.21,4.41,4.62,4.84,5.07,5.30,5.55,5.80,6.06,6.34,6.62,6.91,7.21,7.52,7.85,8.19,8.55,8.92
TCD,Chad,Male,1.28,1.35,1.42,1.50,1.58,1.67,1.75,1.85,1.94,2.04,2.15,2.26,2.38,2.50,2.63,2.78,2.93,3.09
TGO,Togo,Female,5.99,6.28,6.59,6.91,7.24,7.58,7.93,8.29,8.66,9.05,9.44,9.84,10.25,10.67,11.11,11.56,12.02,12.49
TGO,Togo,Male,1.50,1.59,1.69,1.79,1.89,2.01,2.12,2.25,2.37,2.51,2.64,2.79,2.94,3.11,3.28,3.46,3.65,3.86
THA,Thailand,Female,5.08,5.32,5.60,5.91,6.25,6.61,7.00,7.42,7.86,8.33,8.82,9.33,9.86,10.40,10.95,11.53,12.12,12.72
THA,Thailand,Male,1.84,1.96,2.11,2.27,2.45,2.66,2.89,3.14,3.41,3.71,4.04,4.39,4.76,5.15,5.57,6.02,6.49,6.98
TJK,Tajikistan,Female,9.48,9.73,10.01,10.31,10.64,10.98,11.35,11.75,12.16,12.59,13.04,13.50,13.99,14.49,15.01,15.54,16.09,16.65
TJK,Tajikistan,Male,5.96,6.15,6.35,6.58,6.82,7.08,7.36,7.65,7.97,8.30,8.65,9.02,9.40,9.80,10.21,10.65,11.10,11.57
TKM,Turkmenistan,Female,12.59,12.97,13.36,13.77,14.20,14.64,15.09,15.55,16.03,16.52,17.03,17.55,18.08,18.63,19.19,19.76,20.34,20.94
TKM,Turkmenistan,Male,8.32,8.64,8.98,9.33,9.69,10.07,10.46,10.87,11.30,11.74,12.20,12.67,13.16,13.67,14.19,14.73,15.29,15.87
TLS,Timor-Leste,Female,1.84,1.95,2.07,2.19,2.32,2.46,2.61,2.76,2.93,3.10,3.29,3.48,3.69,3.91,4.14,4.38,4.64,4.91
TLS,Timor-Leste,Male,0.71,0.77,0.83,0.90,0.97,1.05,1.13,1.22,1.32,1.42,1.54,1.66,1.79,1.94,2.10,2.26,2.45,2.64
TON,Tonga,Female,43.98,44.65,45.31,45.97,46.62,47.26,47.90,48.53,49.15,49.77,50.39,51.00,51.60,52.19,52.78,53.36,53.94,54.51
TON,Tonga,Male,28.24,28.97,29.70,30.45,31.20,31.96,32.72,33.49,34.27,35.05,35.83,36.62,37.41,38.20,39.00,39.80,40.60,41.41
TTO,Trinidad and Tobago,Female,14.85,15.47,16.09,16.70,17.32,17.93,18.55,19.17,19.80,20.44,21.09,21.75,22.43,23.12,23.82,24.54,25.27,26.02
TTO,Trinidad and Tobago,Male,5.13,5.41,5.69,5.98,6.26,6.55,6.84,7.14,7.45,7.77,8.09,8.43,8.78,9.15,9.53,9.94,10.36,10.80
TUN,Tunisia,Female,24.86,25.41,25.95,26.50,27.04,27.59,28.13,28.68,29.22,29.77,30.32,30.87,31.43,31.99,32.56,33.13,33.70,34.28
TUN,Tunisia,Male,10.38,10.81,11.24,11.68,12.13,12.59,13.06,13.55,14.04,14.55,15.07,15.60,16.15,16.70,17.28,17.87,18.48,19.10
TUR,Turkey,Female,28.63,29.22,29.82,30.42,31.02,31.63,32.25,32.87,33.49,34.12,34.76,35.39,36.03,36.67,37.30,37.94,38.57,39.20
TUR,Turkey,Male,13.87,14.37,14.89,15.42,15.97,16.53,17.11,17.70,18.31,18.93,19.57,20.22,20.88,21.55,22.24,22.93,23.65,24.37
TUV,Tuvalu,Female,45.15,45.82,46.49,47.16,47.83,48.50,49.16,49.83,50.50,51.18,51.85,52.51,53.16,53.79,54.42,55.03,55.63,56.21
TUV,Tuvalu,Male,32.07,32.88,33.71,34.55,35.40,36.25,37.12,38.01,38.91,39.82,40.74,41.66,42.58,43.49,44.39,45.29,46.17,47.04
TZA,United Republic of Tanzania,Female,5.59,5.88,6.17,6.49,6.82,7.16,7.53,7.90,8.30,8.72,9.15,9.60,10.07,10.55,11.05,11.57,12.11,12.66
TZA,United Republic of Tanzania,Male,1.46,1.55,1.64,1.74,1.84,1.95,2.07,2.20,2.33,2.47,2.62,2.78,2.95,3.13,3.32,3.53,3.75,3.98
UGA,Uganda,Female,3.76,3.95,4.15,4.36,4.58,4.81,5.05,5.30,5.57,5.85,6.14,6.45,6.78,7.11,7.47,7.83,8.21,8.61
UGA,Uganda,Male,0.71,0.75,0.79,0.84,0.88,0.93,0.98,1.04,1.09,1.16,1.22,1.29,1.37,1.45,1.54,1.63,1.73,1.84
UKR,Ukraine,Female,22.34,22.49,22.65,22.81,22.99,23.17,23.36,23.55,23.75,23.95,24.16,24.36,24.57,24.79,25.01,25.23,25.46,25.69
UKR,Ukraine,Male,14.43,14.80,15.17,15.56,15.96,16.37,16.79,17.22,17.66,18.10,18.56,19.02,19.49,19.97,20.46,20.96,21.46,21.98
URY,Uruguay,Female,23.31,23.72,24.14,24.56,24.98,25.40,25.82,26.24,26.67,27.10,27.53,27.96,28.39,28.83,29.26,29.70,30.15,30.59
URY,Uruguay,Male,16.49,16.94,17.40,17.86,18.33,18.80,19.28,19.76,20.25,20.74,21.24,21.75,22.26,22.77,23.30,23.83,24.37,24.92
USA,United States of America,Female,26.20,26.90,27.60,28.28,28.94,29.60,30.24,30.87,31.50,32.11,32.72,33.33,33.94,34.54,35.15,35.75,36.35,36.96
USA,United States of America,Male,23.26,24.02,24.78,25.52,26.26,26.98,27.70,28.41,29.12,29.82,30.52,31.22,31.92,32.62,33.32,34.03,34.74,35.46
UZB,Uzbekistan,Female,11.32,11.63,11.97,12.32,12.68,13.07,13.47,13.88,14.31,14.77,15.23,15.72,16.22,16.74,17.29,17.85,18.42,19.02
UZB,Uzbekistan,Male,7.37,7.62,7.89,8.17,8.47,8.78,9.10,9.44,9.80,10.17,10.55,10.96,11.38,11.82,12.29,12.77,13.28,13.81
VCT,Saint Vincent and the Grenadines,Female,20.20,20.80,21.41,22.02,22.63,23.25,23.88,24.51,25.14,25.78,26.42,27.07,27.72,28.38,29.04,29.70,30.37,31.03
VCT,Saint Vincent and the Grenadines,Male,8.03,8.42,8.82,9.23,9.65,10.09,10.54,11.01,11.49,11.98,12.49,13.02,13.56,14.12,14.70,15.30,15.92,16.56
VEN,Venezuela (Bolivarian Republic of),Female,22.69,23.07,23.45,23.82,24.17,24.53,24.87,25.22,25.55,25.89,26.22,26.56,26.89,27.23,27.58,27.93,28.28,28.64
VEN,Venezuela (Bolivarian Republic of),Male,15.24,15.69,16.13,16.56,16.99,17.41,17.84,18.25,18.66,19.06,19.47,19.87,20.28,20.70,21.12,21.54,21.98,22.42
VNM,Viet Nam,Female,0.83,0.88,0.94,1.01,1.08,1.16,1.24,1.33,1.42,1.52,1.63,1.74,1.86,1.99,2.12,2.27,2.42,2.58
VNM,Viet Nam,Male,0.34,0.37,0.40,0.44,0.48,0.53,0.58,0.64,0.70,0.77,0.84,0.92,1.01,1.11,1.22,1.33,1.46,1.59
VUT,Vanuatu,Female,19.67,20.25,20.84,21.43,22.02,22.62,23.22,23.82,24.43,25.04,25.66,26.28,26.90,27.52,28.15,28.78,29.42,30.06
VUT,Vanuatu,Male,10.90,11.34,11.79,12.25,12.73,13.21,13.71,14.23,14.76,15.30,15.85,16.43,17.01,17.62,18.24,18.88,19.53,20.21
WSM,Samoa,Female,44.75,45.46,46.14,46.81,47.46,48.10,48.72,49.33,49.93,50.52,51.10,51.67,52.24,52.80,53.36,53.91,54.46,55.00
WSM,Samoa,Male,27.56,28.32,29.06,29.80,30.53,31.25,31.98,32.69,33.41,34.12,34.83,35.55,36.27,36.99,37.72,38.46,39.19,39.94
YEM,Yemen,Female,12.02,12.50,12.99,13.49,14.00,14.52,15.06,15.61,16.18,16.77,17.37,18.00,18.63,19.28,19.95,20.63,21.31,22.01
YEM,Yemen,Male,4.87,5.15,5.43,5.74,6.05,6.38,6.73,7.09,7.48,7.89,8.32,8.77,9.24,9.74,10.25,10.80,11.37,11.96
ZAF,South Africa,Female,29.62,30.22,30.82,31.42,32.02,32.62,33.22,33.82,34.42,35.02,35.60,36.19,36.77,37.34,37.90,38.47,39.02,39.57
ZAF,South Africa,Male,7.23,7.58,7.96,8.34,8.74,9.16,9.60,10.04,10.51,10.99,11.48,11.99,12.51,13.04,13.59,14.16,14.75,15.35
ZMB,Zambia,Female,6.54,6.72,6.93,7.17,7.43,7.71,8.01,8.34,8.68,9.05,9.42,9.82,10.22,10.64,11.06,11.51,11.96,12.43
ZMB,Zambia,Male,1.58,1.63,1.69,1.75,1.83,1.91,2.00,2.10,2.21,2.33,2.45,2.59,2.73,2.88,3.03,3.20,3.38,3.56
ZWE,Zimbabwe,Female,17.51,18.02,18.51,18.99,19.47,19.94,20.40,20.85,21.30,21.74,22.17,22.60,23.03,23.47,23.91,24.35,24.80,25.26
ZWE,Zimbabwe,Male,2.26,2.39,2.52,2.65,2.78,2.92,3.05,3.19,3.33,3.46,3.60,3.74,3.89,4.04,4.20,4.36,4.53,4.72